mpi_size,omp_threads,n_x,n_y,x_L,y_L,x_R,y_R,I_max,time_seconds
1,1,10000,10000,-2.00,-2.00,2.00,2.00,255,39.38522519
2,1,10000,10000,-2.00,-2.00,2.00,2.00,255,19.71041332
4,1,10000,10000,-2.00,-2.00,2.00,2.00,255,18.51407615
8,1,10000,10000,-2.00,-2.00,2.00,2.00,255,14.48266468
16,1,10000,10000,-2.00,-2.00,2.00,2.00,255,8.56804942
32,1,10000,10000,-2.00,-2.00,2.00,2.00,255,4.45887897
64,1,10000,10000,-2.00,-2.00,2.00,2.00,255,2.27632032
80,1,10000,10000,-2.00,-2.00,2.00,2.00,255,1.83280369
96,1,10000,10000,-2.00,-2.00,2.00,2.00,255,1.53164020
112,1,10000,10000,-2.00,-2.00,2.00,2.00,255,1.31345098
128,1,10000,10000,-2.00,-2.00,2.00,2.00,255,1.24045391
