mpi_size,omp_threads,n_x,n_y,x_L,y_L,x_R,y_R,I_max,time_seconds
2,1,2000,2000,-2.00,-2.00,2.00,2.00,255,0.81811650
4,1,4000,4000,-2.00,-2.00,2.00,2.00,255,2.98772510
8,1,6000,6000,-2.00,-2.00,2.00,2.00,255,5.23385021
16,1,8000,8000,-2.00,-2.00,2.00,2.00,255,5.48643157
32,1,12000,12000,-2.00,-2.00,2.00,2.00,255,6.43742054
64,1,16000,16000,-2.00,-2.00,2.00,2.00,255,5.81187115
80,1,18000,18000,-2.00,-2.00,2.00,2.00,255,6.03711562
96,1,20000,20000,-2.00,-2.00,2.00,2.00,255,6.11978440
112,1,22000,22000,-2.00,-2.00,2.00,2.00,255,6.37616884
128,1,22000,22000,-2.00,-2.00,2.00,2.00,255,6.08161816
