mpi_size,omp_threads,n_x,n_y,x_L,y_L,x_R,y_R,I_max,time_seconds
1,2,10000,10000,-2.00,-2.00,2.00,2.00,255,21.18231974
1,4,10000,10000,-2.00,-2.00,2.00,2.00,255,11.34064078
1,6,10000,10000,-2.00,-2.00,2.00,2.00,255,10.32099070
1,8,10000,10000,-2.00,-2.00,2.00,2.00,255,8.73724098
1,10,10000,10000,-2.00,-2.00,2.00,2.00,255,7.86476685
1,12,10000,10000,-2.00,-2.00,2.00,2.00,255,7.19660792
1,14,10000,10000,-2.00,-2.00,2.00,2.00,255,6.83955744
1,16,10000,10000,-2.00,-2.00,2.00,2.00,255,6.43442370
1,18,10000,10000,-2.00,-2.00,2.00,2.00,255,6.28039910
1,20,10000,10000,-2.00,-2.00,2.00,2.00,255,6.05460833
1,22,10000,10000,-2.00,-2.00,2.00,2.00,255,5.98816784
1,24,10000,10000,-2.00,-2.00,2.00,2.00,255,5.76667959
1,26,10000,10000,-2.00,-2.00,2.00,2.00,255,5.70406957
1,28,10000,10000,-2.00,-2.00,2.00,2.00,255,5.58073658
1,30,10000,10000,-2.00,-2.00,2.00,2.00,255,5.56400606
1,32,10000,10000,-2.00,-2.00,2.00,2.00,255,5.42526550
1,34,10000,10000,-2.00,-2.00,2.00,2.00,255,5.58261761
1,36,10000,10000,-2.00,-2.00,2.00,2.00,255,5.43364823
1,38,10000,10000,-2.00,-2.00,2.00,2.00,255,5.51500425
1,40,10000,10000,-2.00,-2.00,2.00,2.00,255,5.38820092
1,42,10000,10000,-2.00,-2.00,2.00,2.00,255,5.46903824
1,44,10000,10000,-2.00,-2.00,2.00,2.00,255,5.36930504
1,46,10000,10000,-2.00,-2.00,2.00,2.00,255,5.50675849
1,48,10000,10000,-2.00,-2.00,2.00,2.00,255,5.36021934
1,50,10000,10000,-2.00,-2.00,2.00,2.00,255,5.43910195
1,52,10000,10000,-2.00,-2.00,2.00,2.00,255,5.31387008
1,54,10000,10000,-2.00,-2.00,2.00,2.00,255,5.37382223
1,56,10000,10000,-2.00,-2.00,2.00,2.00,255,5.30457859
1,58,10000,10000,-2.00,-2.00,2.00,2.00,255,5.33136318
1,60,10000,10000,-2.00,-2.00,2.00,2.00,255,5.26113978
1,62,10000,10000,-2.00,-2.00,2.00,2.00,255,5.28543907
1,64,10000,10000,-2.00,-2.00,2.00,2.00,255,5.22803928
