mpi_size,omp_threads,n_x,n_y,x_L,y_L,x_R,y_R,I_max,time_seconds
1,2,2000,2000,-2.00,-2.00,2.00,2.00,255,0.87141402
1,4,4000,4000,-2.00,-2.00,2.00,2.00,255,1.84915131
1,6,4000,4000,-2.00,-2.00,2.00,2.00,255,1.66430740
1,8,6000,6000,-2.00,-2.00,2.00,2.00,255,3.15859906
1,10,6000,6000,-2.00,-2.00,2.00,2.00,255,2.84518332
1,12,6000,6000,-2.00,-2.00,2.00,2.00,255,2.60021506
1,14,8000,8000,-2.00,-2.00,2.00,2.00,255,4.36085492
1,16,8000,8000,-2.00,-2.00,2.00,2.00,255,4.13894248
1,18,8000,8000,-2.00,-2.00,2.00,2.00,255,4.02798512
1,20,8000,8000,-2.00,-2.00,2.00,2.00,255,3.87692313
1,22,10000,10000,-2.00,-2.00,2.00,2.00,255,5.97407190
1,24,10000,10000,-2.00,-2.00,2.00,2.00,255,5.74270105
1,26,10000,10000,-2.00,-2.00,2.00,2.00,255,5.73299212
1,28,10000,10000,-2.00,-2.00,2.00,2.00,255,5.53858836
1,30,10000,10000,-2.00,-2.00,2.00,2.00,255,5.48962358
1,32,12000,12000,-2.00,-2.00,2.00,2.00,255,7.83120785
1,34,12000,12000,-2.00,-2.00,2.00,2.00,255,8.08195155
1,36,12000,12000,-2.00,-2.00,2.00,2.00,255,7.86169103
1,38,12000,12000,-2.00,-2.00,2.00,2.00,255,7.99063715
1,40,12000,12000,-2.00,-2.00,2.00,2.00,255,7.73201469
1,42,12000,12000,-2.00,-2.00,2.00,2.00,255,7.92597605
1,44,14000,14000,-2.00,-2.00,2.00,2.00,255,10.61373492
1,46,14000,14000,-2.00,-2.00,2.00,2.00,255,10.69037861
1,48,14000,14000,-2.00,-2.00,2.00,2.00,255,10.52777423
1,50,14000,14000,-2.00,-2.00,2.00,2.00,255,10.74525604
1,52,14000,14000,-2.00,-2.00,2.00,2.00,255,10.50836535
1,54,14000,14000,-2.00,-2.00,2.00,2.00,255,10.65806274
1,56,14000,14000,-2.00,-2.00,2.00,2.00,255,10.38417339
1,58,16000,16000,-2.00,-2.00,2.00,2.00,255,13.80053068
1,60,16000,16000,-2.00,-2.00,2.00,2.00,255,13.44949294
1,62,16000,16000,-2.00,-2.00,2.00,2.00,255,13.72249680
1,64,16000,16000,-2.00,-2.00,2.00,2.00,255,13.53351880
