Processes,Size,Latency
2,2,0.40
2,4,0.40
2,8,0.36
2,16,0.36
2,32,0.54
2,64,0.53
2,128,0.77
2,256,0.80
2,512,0.88
2,1024,1.03
2,2048,1.44
2,4096,2.05
2,8192,3.44
2,16384,3.72
2,32768,5.81
2,65536,7.24
2,131072,10.24
2,262144,16.10
2,524288,28.78
2,1048576,60.53
4,2,0.84
4,4,0.81
4,8,0.82
4,16,0.80
4,32,1.35
4,64,1.12
4,128,1.83
4,256,1.88
4,512,2.13
4,1024,2.57
4,2048,3.50
4,4096,5.35
4,8192,8.33
4,16384,16.61
4,32768,26.95
4,65536,42.40
4,131072,73.43
4,262144,136.28
4,524288,251.47
4,1048576,495.54
6,2,1.41
6,4,1.46
6,8,1.42
6,16,1.43
6,32,1.97
6,64,1.96
6,128,3.13
6,256,3.15
6,512,3.62
6,1024,4.28
6,2048,5.70
6,4096,8.44
6,8192,13.23
6,16384,25.49
6,32768,40.27
6,65536,67.49
6,131072,140.68
6,262144,259.01
6,524288,471.34
6,1048576,930.10
8,2,2.17
8,4,2.18
8,8,2.18
8,16,2.17
8,32,3.13
8,64,3.06
8,128,4.50
8,256,4.59
8,512,5.19
8,1024,6.08
8,2048,8.00
8,4096,11.58
8,8192,18.00
8,16384,34.62
8,32768,58.16
8,65536,97.81
8,131072,178.90
8,262144,347.10
8,524288,688.33
8,1048576,1286.89
10,2,2.96
10,4,3.05
10,8,3.10
10,16,3.07
10,32,4.35
10,64,4.10
10,128,6.11
10,256,6.19
10,512,6.99
10,1024,8.16
10,2048,10.68
10,4096,14.81
10,8192,23.07
10,16384,45.90
10,32768,68.24
10,65536,121.82
10,131072,266.80
10,262144,406.69
10,524288,789.10
10,1048576,1611.70
12,2,3.48
12,4,3.91
12,8,3.49
12,16,3.47
12,32,5.25
12,64,4.59
12,128,7.21
12,256,7.33
12,512,8.39
12,1024,9.93
12,2048,12.78
12,4096,17.84
12,8192,27.40
12,16384,51.31
12,32768,85.60
12,65536,145.97
12,131072,264.20
12,262144,505.28
12,524288,972.65
12,1048576,1955.94
14,2,3.80
14,4,4.38
14,8,3.84
14,16,3.86
14,32,5.92
14,64,5.16
14,128,8.19
14,256,8.52
14,512,9.81
14,1024,11.54
14,2048,14.86
14,4096,20.28
14,8192,31.63
14,16384,59.03
14,32768,95.48
14,65536,170.21
14,131072,312.05
14,262144,578.28
14,524288,1164.16
14,1048576,2292.21
16,2,4.40
16,4,4.41
16,8,4.41
16,16,4.34
16,32,6.75
16,64,6.10
16,128,9.67
16,256,9.75
16,512,11.04
16,1024,12.71
16,2048,16.59
16,4096,23.30
16,8192,36.40
16,16384,68.28
16,32768,114.48
16,65536,192.05
16,131072,340.83
16,262144,639.45
16,524288,1257.65
16,1048576,2487.57
18,2,6.16
18,4,5.19
18,8,5.19
18,16,5.27
18,32,7.92
18,64,7.26
18,128,11.27
18,256,11.59
18,512,12.75
18,1024,14.78
18,2048,19.48
18,4096,26.71
18,8192,41.34
18,16384,76.17
18,32768,121.64
18,65536,206.07
18,131072,371.98
18,262144,759.23
18,524288,1428.96
18,1048576,2900.18
20,2,6.50
20,4,5.76
20,8,5.72
20,16,5.76
20,32,8.25
20,64,7.78
20,128,12.88
20,256,12.70
20,512,14.13
20,1024,16.70
20,2048,21.64
20,4096,29.47
20,8192,45.64
20,16384,89.00
20,32768,135.17
20,65536,232.36
20,131072,423.67
20,262144,823.32
20,524288,1567.99
20,1048576,3081.76
22,2,7.15
22,4,6.07
22,8,6.14
22,16,6.05
22,32,9.10
22,64,8.28
22,128,13.86
22,256,13.98
22,512,15.43
22,1024,18.54
22,2048,23.63
22,4096,32.20
22,8192,50.17
22,16384,92.91
22,32768,147.95
22,65536,245.87
22,131072,467.87
22,262144,888.01
22,524288,1697.46
22,1048576,3313.02
24,2,7.52
24,4,6.74
24,8,6.74
24,16,6.68
24,32,10.29
24,64,9.14
24,128,15.38
24,256,15.61
24,512,17.11
24,1024,20.56
24,2048,26.17
24,4096,35.45
24,8192,54.65
24,16384,103.36
24,32768,160.53
24,65536,287.24
24,131072,506.52
24,262144,965.22
24,524288,1884.02
24,1048576,3736.42
26,2,6.76
26,4,6.66
26,8,6.70
26,16,6.63
26,32,10.58
26,64,9.66
26,128,15.75
26,256,16.28
26,512,18.11
26,1024,21.60
26,2048,27.88
26,4096,37.93
26,8192,59.03
26,16384,108.53
26,32768,171.18
26,65536,290.17
26,131072,540.99
26,262144,1057.92
26,524288,1995.04
26,1048576,3946.41
28,2,7.25
28,4,7.31
28,8,7.26
28,16,7.35
28,32,11.49
28,64,10.11
28,128,17.02
28,256,17.61
28,512,19.18
28,1024,23.19
28,2048,30.09
28,4096,41.03
28,8192,63.49
28,16384,116.59
28,32768,188.96
28,65536,324.89
28,131072,584.96
28,262144,1102.31
28,524288,2159.81
28,1048576,4298.31
30,2,7.49
30,4,7.59
30,8,7.48
30,16,7.53
30,32,12.29
30,64,10.58
30,128,18.13
30,256,18.62
30,512,20.32
30,1024,24.81
30,2048,31.69
30,4096,43.56
30,8192,67.61
30,16384,124.04
30,32768,199.57
30,65536,337.63
30,131072,621.63
30,262144,1181.72
30,524288,2301.67
