Processes,Size,Latency
1,2,
1,4,
1,8,
1,16,
1,32,
1,64,
1,128,
1,256,
1,512,
1,1024,
1,2048,
1,4096,
1,8192,
1,16384,
1,32768,
1,65536,
1,131072,
1,262144,
1,524288,
1,1048576,
2,2,0.20
2,4,0.20
2,8,0.19
2,16,0.20
2,32,0.20
2,64,0.21
2,128,0.21
2,256,0.32
2,512,0.32
2,1024,0.36
2,2048,0.40
2,4096,0.46
2,8192,0.61
2,16384,0.87
2,32768,1.72
2,65536,3.10
2,131072,5.70
2,262144,10.86
2,524288,52.68
2,1048576,96.56
4,2,0.27
4,4,0.28
4,8,0.27
4,16,0.27
4,32,0.28
4,64,0.29
4,128,0.28
4,256,0.47
4,512,0.49
4,1024,0.52
4,2048,0.60
4,4096,0.78
4,8192,1.12
4,16384,1.65
4,32768,3.08
4,65536,5.40
4,131072,9.99
4,262144,18.46
4,524288,94.61
4,1048576,197.27
8,2,0.98
8,4,1.04
8,8,0.99
8,16,1.14
8,32,1.06
8,64,1.20
8,128,1.19
8,256,1.69
8,512,1.93
8,1024,1.92
8,2048,2.16
8,4096,2.73
8,8192,4.43
8,16384,8.11
8,32768,14.96
8,65536,26.55
8,131072,50.34
8,262144,113.44
8,524288,235.54
8,1048576,462.27
16,2,1.70
16,4,1.68
16,8,1.68
16,16,1.74
16,32,1.82
16,64,1.92
16,128,1.86
16,256,2.74
16,512,2.80
16,1024,3.13
16,2048,3.44
16,4096,4.53
16,8192,7.98
16,16384,15.27
16,32768,28.80
16,65536,55.90
16,131072,111.90
16,262144,222.95
16,524288,422.62
16,1048576,813.02
32,2,2.35
32,4,2.30
32,8,2.33
32,16,2.31
32,32,2.32
32,64,2.66
32,128,2.61
32,256,3.83
32,512,3.92
32,1024,4.31
32,2048,4.86
32,4096,6.60
32,8192,11.58
32,16384,23.12
32,32768,42.53
32,65536,85.94
32,131072,158.60
32,262144,334.27
32,524288,659.05
32,1048576,1268.04
64,2,3.00
64,4,2.97
64,8,3.05
64,16,2.96
64,32,2.96
64,64,3.37
64,128,3.33
64,256,4.88
64,512,5.07
64,1024,5.58
64,2048,6.21
64,4096,9.72
64,8192,16.08
64,16384,31.89
64,32768,60.59
64,65536,117.76
64,131072,223.18
64,262144,479.97
64,524288,1157.87
64,1048576,1954.75
128,2,4.47
128,4,4.48
128,8,4.40
128,16,4.70
128,32,4.27
128,64,5.88
128,128,5.70
128,256,7.11
128,512,7.35
128,1024,7.52
128,2048,7.97
128,4096,12.39
128,8192,23.11
128,16384,46.62
128,32768,91.61
128,65536,177.32
128,131072,344.99
128,262144,733.87
128,524288,1464.25
128,1048576,2829.23
256,2,7.10
256,4,7.16
256,8,6.91
256,16,7.01
256,32,7.08
256,64,8.07
256,128,11.79
256,256,13.34
256,512,14.40
256,1024,18.11
256,2048,21.93
256,4096,32.40
256,8192,60.51
256,16384,120.43
256,32768,241.23
256,65536,491.21
256,131072,987.94
256,262144,2266.36
256,524288,5209.53
256,1048576,8777.02
