Processes,Size,Latency
2,2,0.27
2,4,0.28
2,8,0.28
2,16,0.28
2,32,0.28
2,64,0.38
2,128,0.37
2,256,0.51
2,512,0.51
2,1024,0.58
2,2048,0.67
2,4096,0.92
2,8192,1.43
2,16384,2.32
2,32768,4.14
2,65536,7.77
2,131072,14.30
2,262144,28.51
2,524288,33.50
2,1048576,67.12
4,2,0.49
4,4,0.50
4,8,0.50
4,16,0.49
4,32,0.53
4,64,0.62
4,128,0.60
4,256,0.90
4,512,0.96
4,1024,1.02
4,2048,1.31
4,4096,1.84
4,8192,3.06
4,16384,4.61
4,32768,7.80
4,65536,13.33
4,131072,24.53
4,262144,46.29
4,524288,92.64
4,1048576,173.60
6,2,0.70
6,4,0.71
6,8,0.68
6,16,0.69
6,32,0.70
6,64,0.91
6,128,0.82
6,256,1.23
6,512,1.31
6,1024,1.39
6,2048,1.80
6,4096,2.67
6,8192,4.05
6,16384,6.51
6,32768,9.73
6,65536,17.09
6,131072,31.83
6,262144,59.91
6,524288,145.99
6,1048576,284.82
8,2,0.94
8,4,0.90
8,8,0.89
8,16,0.88
8,32,0.88
8,64,1.13
8,128,1.09
8,256,1.53
8,512,1.62
8,1024,1.96
8,2048,2.16
8,4096,3.21
8,8192,4.59
8,16384,7.24
8,32768,11.43
8,65536,19.89
8,131072,37.47
8,262144,69.69
8,524288,168.40
8,1048576,327.06
10,2,1.35
10,4,1.35
10,8,1.33
10,16,1.31
10,32,1.33
10,64,1.53
10,128,1.60
10,256,2.04
10,512,2.08
10,1024,2.23
10,2048,2.70
10,4096,3.81
10,8192,5.34
10,16384,8.31
10,32768,12.88
10,65536,22.49
10,131072,40.91
10,262144,77.94
10,524288,191.84
10,1048576,370.82
12,2,1.20
12,4,1.28
12,8,1.31
12,16,1.21
12,32,1.29
12,64,1.78
12,128,1.43
12,256,1.98
12,512,2.03
12,1024,2.16
12,2048,2.72
12,4096,3.98
12,8192,5.69
12,16384,8.79
12,32768,14.07
12,65536,24.44
12,131072,45.25
12,262144,84.32
12,524288,203.23
12,1048576,403.65
14,2,1.34
14,4,1.38
14,8,1.32
14,16,1.73
14,32,1.34
14,64,1.78
14,128,1.67
14,256,2.47
14,512,2.67
14,1024,2.76
14,2048,3.40
14,4096,4.84
14,8192,6.76
14,16384,10.41
14,32768,17.97
14,65536,31.57
14,131072,57.76
14,262144,111.42
14,524288,286.80
14,1048576,524.18
16,2,1.61
16,4,1.60
16,8,1.63
16,16,1.74
16,32,1.78
16,64,2.03
16,128,1.93
16,256,2.89
16,512,3.02
16,1024,3.22
16,2048,3.85
16,4096,5.41
16,8192,7.46
16,16384,11.78
16,32768,19.33
16,65536,32.91
16,131072,62.70
16,262144,117.19
16,524288,281.95
16,1048576,578.26
18,2,2.72
18,4,2.83
18,8,3.28
18,16,2.75
18,32,2.76
18,64,3.31
18,128,3.08
18,256,4.00
18,512,4.10
18,1024,4.39
18,2048,5.21
18,4096,6.96
18,8192,9.35
18,16384,13.51
18,32768,21.61
18,65536,36.75
18,131072,65.62
18,262144,122.99
18,524288,305.29
18,1048576,661.52
20,2,2.73
20,4,2.85
20,8,2.77
20,16,2.64
20,32,2.67
20,64,3.17
20,128,3.13
20,256,4.04
20,512,4.02
20,1024,4.27
20,2048,5.25
20,4096,6.86
20,8192,9.28
20,16384,14.01
20,32768,22.72
20,65536,38.00
20,131072,69.04
20,262144,131.07
20,524288,342.80
20,1048576,658.68
22,2,2.66
22,4,3.28
22,8,2.69
