Processes,Size,Latency
2,2,0.19
2,4,0.18
2,8,0.18
2,16,0.19
2,32,0.23
2,64,0.23
2,128,0.30
2,256,0.33
2,512,0.35
2,1024,0.40
2,2048,0.54
2,4096,0.81
2,8192,1.38
2,16384,2.49
2,32768,4.48
2,65536,8.20
2,131072,15.65
2,262144,19.31
2,524288,52.40
2,1048576,125.45
4,2,0.37
4,4,0.36
4,8,0.35
4,16,0.35
4,32,0.37
4,64,0.40
4,128,0.47
4,256,0.49
4,512,0.54
4,1024,0.60
4,2048,0.76
4,4096,1.14
4,8192,2.02
4,16384,3.64
4,32768,6.70
4,65536,12.25
4,131072,22.60
4,262144,63.53
4,524288,138.85
4,1048576,311.21
6,2,0.48
6,4,0.49
6,8,0.51
6,16,0.46
6,32,0.50
6,64,0.46
6,128,0.58
6,256,0.59
6,512,0.63
6,1024,0.69
6,2048,0.84
6,4096,1.38
6,8192,2.31
6,16384,4.40
6,32768,7.91
6,65536,14.32
6,131072,26.65
6,262144,98.36
6,524288,230.75
6,1048576,538.79
8,2,0.52
8,4,0.55
8,8,0.52
8,16,0.53
8,32,0.56
8,64,0.55
8,128,0.65
8,256,0.66
8,512,0.73
8,1024,0.80
8,2048,0.97
8,4096,1.56
8,8192,2.68
8,16384,4.88
8,32768,8.55
8,65536,15.65
8,131072,31.38
8,262144,129.68
8,524288,309.93
8,1048576,745.97
10,2,0.46
10,4,0.50
10,8,0.48
10,16,0.43
10,32,0.48
10,64,0.46
10,128,0.62
10,256,0.61
10,512,0.67
10,1024,0.73
10,2048,0.86
10,4096,1.54
10,8192,2.62
10,16384,5.07
10,32768,9.42
10,65536,17.93
10,131072,34.78
10,262144,162.17
10,524288,393.44
10,1048576,989.72
12,2,0.56
12,4,0.56
12,8,0.61
12,16,0.58
12,32,0.55
12,64,0.57
12,128,0.68
12,256,0.71
12,512,0.76
12,1024,0.77
12,2048,0.94
12,4096,1.69
12,8192,2.91
12,16384,5.65
12,32768,10.58
12,65536,20.44
12,131072,39.82
12,262144,195.91
12,524288,481.01
12,1048576,1250.73
14,2,0.65
14,4,0.63
14,8,0.66
14,16,0.61
14,32,0.66
14,64,0.65
14,128,0.85
14,256,0.86
14,512,0.90
14,1024,0.96
14,2048,1.16
14,4096,1.94
14,8192,3.28
14,16384,6.64
14,32768,12.69
14,65536,25.25
14,131072,54.83
14,262144,234.84
14,524288,572.05
14,1048576,1492.25
16,2,1.05
16,4,1.07
16,8,1.08
16,16,1.01
16,32,1.13
16,64,1.07
16,128,1.35
16,256,1.41
16,512,1.43
16,1024,1.57
16,2048,1.77
16,4096,2.77
16,8192,4.07
16,16384,7.85
16,32768,14.94
16,65536,31.54
16,131072,67.77
16,262144,273.38
16,524288,676.44
16,1048576,1760.94
18,2,1.02
18,4,1.04
18,8,0.99
18,16,1.02
18,32,1.02
18,64,1.05
18,128,1.28
18,256,1.28
18,512,1.40
18,1024,1.45
18,2048,1.74
18,4096,2.54
18,8192,3.87
18,16384,8.10
18,32768,16.02
18,65536,35.59
18,131072,79.07
18,262144,303.09
18,524288,773.70
18,1048576,2042.42
20,2,1.00
20,4,1.07
20,8,1.10
20,16,1.01
20,32,1.05
20,64,1.11
20,128,1.36
20,256,1.32
20,512,1.34
20,1024,1.49
20,2048,1.74
20,4096,2.62
20,8192,3.93
20,16384,8.72
20,32768,17.17
20,65536,39.45
20,131072,87.21
20,262144,341.79
20,524288,877.31
20,1048576,2329.07
22,2,1.02
22,4,1.12
22,8,1.15
22,16,1.06
22,32,1.13
22,64,1.10
22,128,1.38
22,256,1.37
22,512,1.44
22,1024,1.55
22,2048,1.75
22,4096,2.78
22,8192,4.15
22,16384,8.99
22,32768,18.55
22,65536,42.64
22,131072,95.58
22,262144,376.84
22,524288,942.99
22,1048576,2626.75
24,2,1.05
24,4,1.14
24,8,1.20
24,16,1.10
24,32,1.16
24,64,1.15
24,128,1.38
24,256,1.42
24,512,1.42
24,1024,1.57
24,2048,1.88
24,4096,2.78
24,8192,4.43
24,16384,9.37
24,32768,20.10
24,65536,45.72
24,131072,100.89
24,262144,414.19
24,524288,1054.60
24,1048576,2873.55
26,2,1.01
26,4,0.92
26,8,0.94
26,16,0.95
26,32,1.05
26,64,0.97
26,128,1.23
26,256,1.23
26,512,1.30
26,1024,1.47
26,2048,1.68
26,4096,2.58
26,8192,4.17
26,16384,9.14
26,32768,18.67
26,65536,41.64
26,131072,94.88
26,262144,458.19
