Processes,Size,Latency
2,2,0.40
2,4,0.39
2,8,0.40
2,16,0.38
2,32,0.51
2,64,0.53
2,128,0.80
2,256,0.82
2,512,0.90
2,1024,0.97
2,2048,1.32
2,4096,1.98
2,8192,3.35
2,16384,6.20
2,32768,11.71
2,65536,22.26
2,131072,41.37
2,262144,20.24
2,524288,53.31
2,1048576,127.20
4,2,0.74
4,4,0.73
4,8,0.72
4,16,0.71
4,32,0.79
4,64,0.78
4,128,1.02
4,256,1.10
4,512,1.17
4,1024,1.28
4,2048,1.69
4,4096,2.48
4,8192,3.57
4,16384,6.19
4,32768,10.97
4,65536,19.15
4,131072,36.85
4,262144,86.58
4,524288,172.59
4,1048576,364.66
6,2,0.74
6,4,0.75
6,8,0.73
6,16,0.75
6,32,0.80
6,64,0.84
6,128,1.06
6,256,1.29
6,512,1.17
6,1024,1.28
6,2048,1.68
6,4096,2.48
6,8192,3.70
6,16384,6.40
6,32768,11.20
6,65536,20.04
6,131072,35.36
6,262144,109.38
6,524288,219.12
6,1048576,465.58
8,2,0.65
8,4,0.63
8,8,0.64
8,16,0.64
8,32,0.74
8,64,0.73
8,128,0.98
8,256,1.10
8,512,1.08
8,1024,1.23
8,2048,1.62
8,4096,2.44
8,8192,3.79
8,16384,6.38
8,32768,11.00
8,65536,19.28
8,131072,36.52
8,262144,98.95
8,524288,205.16
8,1048576,440.75
10,2,0.71
10,4,0.71
10,8,0.70
10,16,0.69
10,32,0.82
10,64,0.85
10,128,1.06
10,256,1.08
10,512,1.16
10,1024,1.35
10,2048,1.75
10,4096,2.66
10,8192,4.09
10,16384,6.85
10,32768,11.99
10,65536,21.28
10,131072,38.59
10,262144,107.18
10,524288,226.29
10,1048576,437.89
12,2,0.64
12,4,0.66
12,8,0.64
12,16,0.67
12,32,0.76
12,64,0.89
12,128,1.00
12,256,1.03
12,512,1.09
12,1024,1.28
12,2048,1.70
12,4096,2.57
12,8192,3.99
12,16384,6.86
12,32768,11.61
12,65536,20.77
12,131072,38.50
12,262144,108.16
12,524288,223.98
12,1048576,474.91
14,2,0.56
14,4,0.58
14,8,0.57
14,16,0.58
14,32,0.67
14,64,0.70
14,128,0.84
14,256,0.87
14,512,0.98
14,1024,1.15
14,2048,1.51
14,4096,2.40
14,8192,3.84
14,16384,6.70
14,32768,11.60
14,65536,20.45
14,131072,36.69
14,262144,113.83
14,524288,236.24
14,1048576,521.83
16,2,0.65
16,4,0.64
16,8,0.66
16,16,0.66
16,32,0.81
16,64,0.76
16,128,0.97
16,256,1.00
16,512,1.06
16,1024,1.25
16,2048,1.67
16,4096,2.57
16,8192,4.04
16,16384,6.79
16,32768,11.80
16,65536,20.63
16,131072,39.58
16,262144,115.80
16,524288,241.37
16,1048576,521.83
18,2,0.69
18,4,0.69
18,8,0.69
18,16,0.71
18,32,0.91
18,64,0.81
18,128,1.06
18,256,1.08
18,512,1.17
18,1024,1.36
18,2048,1.81
18,4096,2.73
18,8192,4.27
18,16384,7.09
18,32768,12.28
18,65536,22.14
18,131072,40.53
18,262144,110.18
18,524288,229.54
18,1048576,519.25
20,2,0.69
20,4,0.70
20,8,0.71
20,16,0.69
20,32,0.85
20,64,0.82
20,128,1.07
20,256,1.12
20,512,1.21
20,1024,1.40
20,2048,1.85
20,4096,2.81
20,8192,4.37
20,16384,7.35
20,32768,12.57
20,65536,22.41
20,131072,41.01
20,262144,111.91
20,524288,228.75
20,1048576,527.13
22,2,0.70
22,4,0.69
22,8,0.69
22,16,0.68
22,32,0.93
22,64,0.80
22,128,1.05
22,256,1.07
22,512,1.16
22,1024,1.40
22,2048,1.88
22,4096,2.83
22,8192,4.47
22,16384,7.47
22,32768,12.72
22,65536,22.48
22,131072,41.66
22,262144,120.90
22,524288,249.33
22,1048576,578.51
24,2,0.72
24,4,0.70
24,8,0.68
24,16,0.83
24,32,0.85
24,64,0.79
24,128,1.04
24,256,1.07
24,512,1.16
24,1024,1.38
24,2048,1.88
24,4096,2.83
24,8192,4.45
24,16384,7.45
24,32768,12.64
24,65536,22.21
24,131072,41.27
24,262144,121.34
24,524288,256.82
24,1048576,613.08
26,2,1.05
26,4,1.28
26,8,1.06
26,16,1.04
26,32,1.11
26,64,1.17
26,128,1.35
26,256,1.43
26,512,1.50
26,1024,1.71
26,2048,2.29
26,4096,3.21
26,8192,4.83
26,16384,7.44
26,32768,12.62
26,65536,22.01
26,131072,40.73
26,262144,115.36
26,524288,249.06
26,1048576,585.38
28,2,1.10
28,4,1.31
28,8,1.12
28,16,1.10
28,32,1.16
28,64,1.25
28,128,1.41
28,256,1.49
28,512,1.58
28,1024,1.83
28,2048,2.47
28,4096,3.53
28,8192,5.28
28,16384,8.36
28,32768,13.80
